const,profile
1,0.889987869
1,0.84199133
1,0.777579617
1,0.729404653
1,0.699429119
1,0.685511907
1,0.680515985
1,0.648756193
1,0.644473974
1,0.702640783
1,0.782753966
1,0.840385498
1,0.841277627
1,0.796849603
1,0.784181372
1,0.780256004
1,0.7961359
1,0.970636328
1,1.041828221
1,1.065737277
1,1.078583935
1,1.051998491
1,0.998827604
1,0.894983791
1,0.800418119
1,0.746533529
1,0.718163828
1,0.711205221
1,0.71762855
1,0.726906692
1,0.807733577
1,0.932453208
1,1.074480141
1,1.169402665
1,1.200627179
1,1.218648184
1,1.154236472
1,1.168153684
1,1.189386354
1,1.179037658
1,1.174398587
1,1.323919404
1,1.371915943
1,1.364243634
1,1.34318939
1,1.276636568
1,1.203838843
1,1.055210155
1,0.939947092
1,0.869647328
1,0.833248466
1,0.819866531
1,0.817190144
1,0.836638556
1,0.897303326
1,1.036475447
1,1.201697734
1,1.281454064
1,1.301616179
1,1.299296644
1,1.194382276
1,1.226677345
1,1.259507692
1,1.247910015
1,1.256117601
1,1.370488536
1,1.429547475
1,1.427406365
1,1.397609257
1,1.342832538
1,1.251656956
1,1.093571702
1,0.973847993
1,0.896768049
1,0.857335948
1,0.84324031
1,0.840920775
1,0.860904464
1,0.919963402
1,1.073409587
1,1.236490764
1,1.30286516
1,1.313392282
1,1.311072746
1,1.225249939
1,1.258258711
1,1.273960181
1,1.267893704
1,1.277528697
1,1.403497309
1,1.463448376
1,1.457025047
1,1.421339888
1,1.36567104
1,1.280026658
1,1.11444752
1,0.98883576
1,0.90604619
1,0.874107973
1,0.85894178
1,0.856265393
1,0.869112051
1,0.940482369
1,1.097318643
1,1.255403898
1,1.323027275
1,1.342654112
1,1.340334577
1,1.249872699
1,1.278956103
1,1.314462837
1,1.31856663
1,1.338550319
1,1.439896171
1,1.472904943
1,1.455062364
1,1.405281567
1,1.353002808
1,1.268250555
1,1.111235855
1,0.983839837
1,0.912112667
1,0.875892231
1,0.858049651
1,0.841099201
1,0.859833909
1,0.929063118
1,1.086969947
1,1.244163073
1,1.305898398
1,1.341761983
1,1.358534008
1,1.268250555
1,1.297512386
1,1.332840694
1,1.322313572
1,1.308039508
1,1.394576019
1,1.441680429
1,1.429904326
1,1.391364354
1,1.330521158
1,1.267358427
1,1.132468525
1,1.002931397
1,0.919249699
1,0.87000418
1,0.832891614
1,0.819152828
1,0.814870609
1,0.831107356
1,0.841634478
1,0.913540074
1,1.017205461
1,1.051998491
1,1.064131445
1,1.05164164
1,1.011852687
1,1.011674261
1,0.988657334
1,1.01809759
1,1.195274405
1,1.303400437
1,1.308217934
1,1.2837736
1,1.225071513
1,1.157626562
1,1.054674878
1,0.936913853
1,0.850734194
1,0.789712572
1,0.770442586
1,0.758309632
1,0.75456269
1,0.763305554
1,0.754919541
1,0.789534146
1,0.884456669
1,0.947797827
1,0.981520302
1,0.97652438
1,0.934415892
1,0.919784977
1,0.899087584
1,0.923175067
1,1.119621868
1,1.208299488
1,1.246661034
1,1.246661034
1,1.206872082
1,1.121406126
1,0.992939553
1,0.887668333
1,0.808982558
1,0.792210533
1,0.78043443
1,0.783289243
1,0.800418119
1,0.884991946
1,1.064845148
1,1.225963642
1,1.324811533
1,1.353894937
1,1.355679195
1,1.251835382
1,1.281454064
1,1.304649418
1,1.291267483
1,1.305184695
1,1.403318883
1,1.467730595
1,1.469693279
1,1.436506081
1,1.374057052
1,1.285736283
1,1.116767055
1,0.981341876
1,0.903905081
1,0.870182605
1,0.850020491
1,0.849485213
1,0.861261316
1,0.93066895
1,1.104277249
1,1.254868621
1,1.342832538
1,1.356214473
1,1.357641879
1,1.254690195
1,1.287877393
1,1.31178645
1,1.298404515
1,1.295192851
1,1.411348044
1,1.490212245
1,1.493959187
1,1.451136996
1,1.39368389
1,1.297155534
1,1.135858615
1,0.993653256
1,0.915681183
1,0.876427508
1,0.857335948
1,0.851269471
1,0.870717883
1,0.944943014
1,1.120335571
1,1.284844154
1,1.35335966
1,1.367455298
1,1.367633724
1,1.255939176
1,1.299831921
1,1.332662268
1,1.317496075
1,1.327131068
1,1.419198779
1,1.491996503
1,1.493602335
1,1.455062364
1,1.399750367
1,1.295371276
1,1.1212277
1,0.981520302
1,0.908008874
1,0.875535379
1,0.862153445
1,0.858763354
1,0.875535379
1,0.947619401
1,1.121049274
1,1.278063974
1,1.341940409
1,1.364957337
1,1.353002808
1,1.252549085
1,1.289304799
1,1.307504231
1,1.29947507
1,1.30625525
1,1.399750367
1,1.476651885
1,1.477900865
1,1.439182468
1,1.376198162
1,1.276636568
1,1.114804371
1,0.987408353
1,0.919963402
1,0.877676489
1,0.864116128
1,0.861796593
1,0.879996024
1,0.955470136
1,1.119265016
1,1.273603329
1,1.354073363
1,1.378160846
1,1.37798242
1,1.285201006
1,1.308931637
1,1.342475686
1,1.336409209
1,1.325882087
1,1.40385416
1,1.463983653
1,1.447211629
1,1.40385416
1,1.344973648
1,1.274317033
1,1.119621868
1,1.001503991
1,0.916573312
1,0.866970941
1,0.841456052
1,0.824327176
1,0.820223383
