"const","wind","solar","hydro"
1,0.174944197,0,0.342079636
1,0.217328199,0,0.342018933
1,0.285292337,0,0.341958229
1,0.355421072,0,0.341897526
1,0.453804418,0,0.341836823
1,0.552260489,0,0.341776119
1,0.681014413,0,0.341715416
1,0.844982334,0.012288797,0.341654712
1,1.027226445,0.3279623,0.341594009
1,1.210236174,0.680517629,0.341533306
1,1.402691189,0.985552463,0.341472602
1,1.596079428,1.176001201,0.341411899
1,1.795626092,1.221374927,0.341351196
1,1.923318648,1.116257477,0.341290492
1,2.049484363,0.874381938,0.341229789
1,2.174982889,0.540272593,0.341169086
1,2.300481415,0.19429093,0.341108382
1,2.406517535,0,0.341047679
1,2.508759341,0,0.340986976
1,2.362849459,0,0.340926272
1,2.193279099,0,0.340865569
1,2.014179415,0,0.340804866
1,1.832858239,0,0.340744162
1,1.645008072,0,0.340683459
1,1.456591385,0,0.340622756
1,1.449388283,0,0.340562052
1,1.442185181,0,0.340501349
1,1.434982079,0,0.340440645
1,1.427778977,0,0.340379942
1,1.420575875,0,0.340319239
1,1.413372773,0,0.340258535
1,1.351143579,0.011606128,0.340197832
1,1.288914386,0.174231974,0.340137129
1,1.226685192,0.419732928,0.340076425
1,1.167124365,0.638195288,0.340015722
1,1.108059368,0.777091418,0.339955019
1,1.04899437,0.810475616,0.339894315
1,1.316184298,0.733309654,0.339833612
1,1.592732928,0.558002406,0.339772909
1,1.87477695,0.32104844,0.339712205
1,2.144038843,0.083891544,0.339651502
1,2.394964935,0,0.339590799
1,2.603103202,0,0.339530095
1,2.461732362,0,0.339469392
1,2.307948577,0,0.339408688
1,2.122142792,0,0.339347985
1,1.935885746,0,0.339287282
1,1.746831607,0,0.339226578
1,1.547200811,0,0.339165875
1,1.460430893,0,0.339105172
1,1.373660974,0,0.339044468
1,1.286891056,0,0.338983765
1,1.200976024,0,0.338923062
1,1.118618135,0,0.338862358
1,1.036260247,0,0.338801655
1,0.898021434,0.015594333,0.338740952
1,0.767620149,0.917234724,0.338680248
1,0.646167478,1.620821888,0.338619545
1,0.531150554,2.200117246,0.338558842
1,0.438333066,2.549553751,0.338498138
1,0.348055036,2.631362719,0.338437435
1,0.457444661,2.440969609,0.338376731
1,0.574730258,1.991796444,0.338316028
1,0.721190654,1.34591521,0.338255325
1,0.873638933,0.637181013,0.338194621
1,1.040341823,0,0.338133918
1,1.207044712,0,0.338073215
1,1.081861689,0,0.338012511
1,0.956678666,0,0.337951808
1,0.832715584,0,0.337891105
1,0.720642932,0,0.337830401
1,0.610660704,0,0.337769698
1,0.512781325,0,0.337708995
1,0.622859063,0,0.337648291
1,0.745039649,0,0.337587588
1,0.873148574,0,0.337526885
1,1.012215908,0,0.337466181
1,1.151283242,0,0.337405478
1,1.294283613,0,0.337344775
1,1.179790316,0.013396686,0.337284071
1,1.069230055,1.755871051,0.337223368
1,0.958669794,2.896487574,0.337162664
1,0.848736121,3.805277628,0.337101961
1,0.748086563,4.34019311,0.337041258
1,0.650951476,4.463804928,0.336980554
1,0.687012375,4.175134353,0.336919851
1,0.723073274,3.481504914,0.336859148
1,0.759134173,2.455945308,0.336798444
1,0.795195071,1.288198953,0.336737741
1,0.833407937,0,0.336677038
1,0.873258564,0,0.336616334
1,0.735241255,0,0.336555631
1,0.603165641,0,0.336494928
1,0.490169015,0,0.336434224
1,0.38923318,0,0.336373521
1,0.306927339,0,0.336312818
1,0.237131283,0,0.336252114
1,0.238876176,0,0.336191411
1,0.24062107,0,0.336130707
1,0.242365963,0,0.336070004
1,0.244110857,0,0.336009301
1,0.24585575,0,0.335948597
1,0.247600644,0,0.335887894
1,0.267416705,0.014021964,0.335827191
1,0.287232765,1.799549887,0.335766487
1,0.307048826,2.959529163,0.335705784
1,0.326916919,3.881973396,0.335645081
1,0.348257291,4.424054934,0.335584377
1,0.37444425,4.549207308,0.335523674
1,0.308723627,4.256866581,0.335462971
1,0.250950246,3.553529092,0.335402267
1,0.202142568,2.511797105,0.335341564
1,0.166765926,1.323186867,0.335280861
1,0.132546308,0,0.335220157
1,0.09832669,0,0.335159454
1,0.133001238,0,0.33509875
1,0.167675787,0,0.335038047
1,0.203595982,0,0.334977344
1,0.254022503,0,0.33491664
1,0.312563948,0,0.334855937
1,0.381108684,0,0.334795234
1,0.328905765,0,0.33473453
1,0.286317952,0,0.334673827
1,0.243924232,0,0.334613124
1,0.207411791,0,0.33455242
1,0.180823346,0,0.334491717
1,0.155713219,0,0.334431014
1,0.157632102,0.015955084,0.33437031
1,0.159550985,1.688119931,0.334309607
1,0.161469868,2.792124056,0.334248904
1,0.16338875,3.672617436,0.3341882
1,0.165307633,4.19113163,0.334127497
1,0.167226516,4.310971909,0.334066794
1,0.158293974,4.031118462,0.33400609
1,0.149361433,3.358854709,0.333945387
1,0.140428892,2.365553254,0.333884683
1,0.131496351,1.235949127,0.33382398
1,0.12256381,0,0.333763277
1,0.113631269,0,0.333702573
1,0.145622505,0,0.33364187
1,0.17761374,0,0.333581167
1,0.211321704,0,0.333520463
1,0.26174033,0,0.33345976
1,0.315751507,0,0.333399057
1,0.379166921,0,0.333338353
1,0.489553346,0,0.33327765
1,0.614726231,0,0.333216947
1,0.759168043,0,0.333156243
1,0.914567654,0,0.33309554
1,1.078972968,0,0.333034837
1,1.244794947,0,0.332974133
1,1.349704806,0.017515913,0.33291343
1,1.454614665,1.66961883,0.332852726
1,1.559524525,2.764942874,0.332792023
1,1.66968198,3.638889136,0.33273132
1,1.776908786,4.153641547,0.332670616
1,1.880396138,4.272616922,0.332609913
1,1.881928947,3.994784837,0.33254921
1,1.883461756,3.327430995,0.332488506
1,1.884994566,2.341650881,0.332427803
1,1.886527375,1.221223673,0.3323671
1,1.888060184,0,0.332306396
1,1.889592993,0,0.332245693
1,2.038629682,0,0.33218499
1,2.186419703,0,0.332124286
1,2.331753686,0,0.332063583
1,2.452156046,0,0.33200288
1,2.570909072,0,0.331942176
1,2.661377298,0,0.331881473
1,2.73216988,0,0.331820769
1,2.794838761,0,0.331760066
1,2.850586234,0,0.331699363
1,2.896075846,0,0.331638659
1,2.920645036,0,0.331577956
1,2.936928378,0,0.331517253
1,2.923892005,0.018517835,0.331456549
1,2.902569784,1.656503996,0.331395846
1,2.87221435,2.74035572,0.331335143
1,2.824871791,3.604429156,0.331274439
1,2.774214788,4.112962461,0.331213736
1,2.717511338,4.230442411,0.331153033
